sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,notes
11,Urology,Cystoscopy and retrograde pyelogram insertion of ureteric stent,Cystoscopy and retrograde pyelogram insertion of ureteric stent,cystoscopy-and-retrograde-pyelogram-insertion-of-ureteric-stent,"Bladder, urethra, and ureteric orifices",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cystoscopy and retrograde pyelogram insertion of ureteric stent
Procedure (Arabic): Cystoscopy and retrograde pyelogram insertion of ureteric stent
Specialty: Urology
Anatomical region / focus: Bladder, urethra, and ureteric orifices
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cystoscopy-and-retrograde-pyelogram-insertion-of-ureteric-stent_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/cystoscopy-and-retrograde-pyelogram-insertion-of-ureteric-stent/cystoscopy-and-retrograde-pyelogram-insertion-of-ureteric-stent_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cystoscopy-and-retrograde-pyelogram-insertion-of-ureteric-stent/cystoscopy-and-retrograde-pyelogram-insertion-of-ureteric-stent_figurelabs_authorization_certificate_v1.pdf,draft,false,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
12,Urology,Cystoscopy and ureteroscopy and fragmentation of stone (lithocast),تنظير المثانة والحالب وتفتيت الحصاة,cystoscopy-and-ureteroscopy-and-fragmentation-of-stone-lithocast,"Bladder, urethra, and ureteric orifices",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cystoscopy and ureteroscopy and fragmentation of stone (lithocast)
Procedure (Arabic): تنظير المثانة والحالب وتفتيت الحصاة
Specialty: Urology
Anatomical region / focus: Bladder, urethra, and ureteric orifices
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cystoscopy-and-ureteroscopy-and-fragmentation-of-stone-lithocast_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/cystoscopy-and-ureteroscopy-and-fragmentation-of-stone-lithocast/cystoscopy-and-ureteroscopy-and-fragmentation-of-stone-lithocast_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cystoscopy-and-ureteroscopy-and-fragmentation-of-stone-lithocast/cystoscopy-and-ureteroscopy-and-fragmentation-of-stone-lithocast_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
13,Urology,Cystoscopy with Passage of Ureteric catheter,Cystoscopy with Passage of Ureteric catheter,cystoscopy-with-passage-of-ureteric-catheter,"Bladder, urethra, and ureteric orifices",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cystoscopy with Passage of Ureteric catheter
Procedure (Arabic): Cystoscopy with Passage of Ureteric catheter
Specialty: Urology
Anatomical region / focus: Bladder, urethra, and ureteric orifices
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cystoscopy-with-passage-of-ureteric-catheter_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/cystoscopy-with-passage-of-ureteric-catheter/cystoscopy-with-passage-of-ureteric-catheter_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cystoscopy-with-passage-of-ureteric-catheter/cystoscopy-with-passage-of-ureteric-catheter_figurelabs_authorization_certificate_v1.pdf,draft,false,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
14,Urology,Cystotomy (Supra-Pubic),Cystotomy (Supra-Pubic),cystotomy-supra-pubic,Anatomy specific to Cystotomy (Supra-Pubic),anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cystotomy (Supra-Pubic)
Procedure (Arabic): Cystotomy (Supra-Pubic)
Specialty: Urology
Anatomical region / focus: Anatomy specific to Cystotomy (Supra-Pubic)
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cystotomy-supra-pubic_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/cystotomy-supra-pubic/cystotomy-supra-pubic_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cystotomy-supra-pubic/cystotomy-supra-pubic_figurelabs_authorization_certificate_v1.pdf,draft,false,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
15,Obstetrics & Gynecology,D & C (Dilation & Curettage),كشط الرحم وتوسيع عنقه,d-c-dilation-curettage,Uterus and cervical canal,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): D & C (Dilation & Curettage)
Procedure (Arabic): كشط الرحم وتوسيع عنقه
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Uterus and cervical canal
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",d-c-dilation-curettage_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/d-c-dilation-curettage/d-c-dilation-curettage_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/d-c-dilation-curettage/d-c-dilation-curettage_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
16,Ophthalmology,Dacrocystogram,Dacrocystogram,dacrocystogram,"Lacrimal duct, tear sac, and nasal cavity",process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Dacrocystogram
Procedure (Arabic): Dacrocystogram
Specialty: Ophthalmology
Anatomical region / focus: Lacrimal duct, tear sac, and nasal cavity
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",dacrocystogram_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/dacrocystogram/dacrocystogram_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/dacrocystogram/dacrocystogram_figurelabs_authorization_certificate_v1.pdf,draft,false,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
17,Ophthalmology,Dacryocystorhinostomy,ربط كيس الدمع بالأنف,dacryocystorhinostomy,"Lacrimal duct, tear sac, and nasal cavity",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Dacryocystorhinostomy
Procedure (Arabic): ربط كيس الدمع بالأنف
Specialty: Ophthalmology
Anatomical region / focus: Lacrimal duct, tear sac, and nasal cavity
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",dacryocystorhinostomy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/dacryocystorhinostomy/dacryocystorhinostomy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/dacryocystorhinostomy/dacryocystorhinostomy_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
18,Obstetrics & Gynecology,Diagnostic Hysteroscopy Dilatation & Curettage (D & C),تنظير الرحم التشخيصي مع كشط الرحم,diagnostic-hysteroscopy-dilatation-curettage-d-c,Uterus and cervical canal,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Diagnostic Hysteroscopy Dilatation & Curettage (D & C)
Procedure (Arabic): تنظير الرحم التشخيصي مع كشط الرحم
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Uterus and cervical canal
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",diagnostic-hysteroscopy-dilatation-curettage-d-c_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/diagnostic-hysteroscopy-dilatation-curettage-d-c/diagnostic-hysteroscopy-dilatation-curettage-d-c_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/diagnostic-hysteroscopy-dilatation-curettage-d-c/diagnostic-hysteroscopy-dilatation-curettage-d-c_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
19,General Surgery / Other,Drainage of a Pseudocyst,تصريف كيسة زائفة,drainage-of-a-pseudocyst,Anatomy specific to Drainage of a Pseudocyst,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Drainage of a Pseudocyst
Procedure (Arabic): تصريف كيسة زائفة
Specialty: General Surgery / Other
Anatomical region / focus: Anatomy specific to Drainage of a Pseudocyst
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",drainage-of-a-pseudocyst_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/drainage-of-a-pseudocyst/drainage-of-a-pseudocyst_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/drainage-of-a-pseudocyst/drainage-of-a-pseudocyst_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
20,Allergy & Immunology,Drug Challenge Testing,اختبار تحدي الدواء,drug-challenge-testing,Arm or oral drug administration path,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Drug Challenge Testing
Procedure (Arabic): اختبار تحدي الدواء
Specialty: Allergy & Immunology
Anatomical region / focus: Arm or oral drug administration path
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",drug-challenge-testing_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/allergy-immunology/drug-challenge-testing/drug-challenge-testing_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/drug-challenge-testing/drug-challenge-testing_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
