sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,notes
11,Vascular Surgery,Arteriovenous Goretex Loop Graft, graft جورتكس وريدي شرياني,arteriovenous-goretex-loop-graft,Forearm or upper-arm artery and vein with synthetic graft for dialysis access,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Arteriovenous Goretex Loop Graft
Procedure (Arabic):  graft جورتكس وريدي شرياني
Specialty: Vascular Surgery
Anatomical region / focus: Forearm or upper-arm artery and vein with synthetic graft for dialysis access
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",arteriovenous-goretex-loop-graft_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/vascular-surgery/arteriovenous-goretex-loop-graft/arteriovenous-goretex-loop-graft_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/arteriovenous-goretex-loop-graft/arteriovenous-goretex-loop-graft_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
12,Orthopedics,Arthrogram,تصوير المفصل بالحقن الظليل,arthrogram,Affected joint and needle/contrast path,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Arthrogram
Procedure (Arabic): تصوير المفصل بالحقن الظليل
Specialty: Orthopedics
Anatomical region / focus: Affected joint and needle/contrast path
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",arthrogram_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/orthopedics/arthrogram/arthrogram_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/arthrogram/arthrogram_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
13,Orthopedics,Arthroplasty Consent,موافقة استبدال المفصل,arthroplasty-consent,Affected joint and surrounding bones,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Arthroplasty Consent
Procedure (Arabic): موافقة استبدال المفصل
Specialty: Orthopedics
Anatomical region / focus: Affected joint and surrounding bones
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",arthroplasty-consent_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/orthopedics/arthroplasty-consent/arthroplasty-consent_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/arthroplasty-consent/arthroplasty-consent_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
14,Radiology / Interventional Radiology,Aspiration Drainage Under Imaging,Aspiration Drainage Under Imaging,aspiration-drainage-under-imaging,Fluid collection and drainage catheter,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Aspiration Drainage Under Imaging
Procedure (Arabic): Aspiration Drainage Under Imaging
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Fluid collection and drainage catheter
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",aspiration-drainage-under-imaging_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/aspiration-drainage-under-imaging/aspiration-drainage-under-imaging_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/aspiration-drainage-under-imaging/aspiration-drainage-under-imaging_figurelabs_authorization_certificate_v1.pdf,draft,false,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
15,Obstetrics & Gynecology,Bartholin's Glands,غدة بارثولين,bartholin-s-glands,Bartholin gland region,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Bartholin's Glands
Procedure (Arabic): غدة بارثولين
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Bartholin gland region
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",bartholin-s-glands_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/bartholin-s-glands/bartholin-s-glands_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/bartholin-s-glands/bartholin-s-glands_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
16,Radiology / Interventional Radiology,Biopsy Under Imaging,أخذ خزعة تحت التصوير الإشعاعي,biopsy-under-imaging,Target lesion and biopsy needle path under imaging,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Biopsy Under Imaging
Procedure (Arabic): أخذ خزعة تحت التصوير الإشعاعي
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Target lesion and biopsy needle path under imaging
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",biopsy-under-imaging_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/biopsy-under-imaging/biopsy-under-imaging_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/biopsy-under-imaging/biopsy-under-imaging_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
17,Ophthalmology,Blepharoplasty,تجميل الجفن,blepharoplasty,Upper and/or lower eyelids,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Blepharoplasty
Procedure (Arabic): تجميل الجفن
Specialty: Ophthalmology
Anatomical region / focus: Upper and/or lower eyelids
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",blepharoplasty_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/blepharoplasty/blepharoplasty_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/blepharoplasty/blepharoplasty_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
18,Transfusion Medicine / Blood Transfusion,Blood and blood products transfusion consent,Blood and blood products transfusion consent,blood-and-blood-products-transfusion-consent,"Intravenous line, blood bag, and infusion pathway",process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Blood and blood products transfusion consent
Procedure (Arabic): Blood and blood products transfusion consent
Specialty: Transfusion Medicine / Blood Transfusion
Anatomical region / focus: Intravenous line, blood bag, and infusion pathway
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",blood-and-blood-products-transfusion-consent_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/transfusion-medicine/blood-and-blood-products-transfusion-consent/blood-and-blood-products-transfusion-consent_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/blood-and-blood-products-transfusion-consent/blood-and-blood-products-transfusion-consent_figurelabs_authorization_certificate_v1.pdf,draft,false,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
19,Breast Surgery,Breast Abscess Haematoma,خراج أو ورم دموي في الثدي,breast-abscess-haematoma,Breast abscess cavity,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Breast Abscess Haematoma
Procedure (Arabic): خراج أو ورم دموي في الثدي
Specialty: Breast Surgery
Anatomical region / focus: Breast abscess cavity
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",breast-abscess-haematoma_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/breast-surgery/breast-abscess-haematoma/breast-abscess-haematoma_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/breast-abscess-haematoma/breast-abscess-haematoma_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
20,Breast Surgery,Breast Biopsy Aspiration,خزعة أو شفط الثدي,breast-biopsy-aspiration,Breast tissue and target lesion,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Breast Biopsy Aspiration
Procedure (Arabic): خزعة أو شفط الثدي
Specialty: Breast Surgery
Anatomical region / focus: Breast tissue and target lesion
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",breast-biopsy-aspiration_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/breast-surgery/breast-biopsy-aspiration/breast-biopsy-aspiration_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/breast-biopsy-aspiration/breast-biopsy-aspiration_figurelabs_authorization_certificate_v1.pdf,draft,false,Pending FigureLabs generation and medical review.
